Date,Country,Confirmed,Recovered,Deaths,Active,DailyConfirmed,DailyDeaths
2020-01-22,Germany,0,0,0,0,0.0,0.0
2020-01-23,Germany,0,0,0,0,0.0,0.0
2020-01-24,Germany,0,0,0,0,0.0,0.0
2020-01-25,Germany,0,0,0,0,0.0,0.0
2020-01-26,Germany,0,0,0,0,0.0,0.0
2020-01-27,Germany,1,0,0,1,1.0,0.0
2020-01-28,Germany,4,0,0,4,3.0,0.0
2020-01-29,Germany,4,0,0,4,0.0,0.0
2020-01-30,Germany,4,0,0,4,0.0,0.0
2020-01-31,Germany,5,0,0,5,1.0,0.0
2020-02-01,Germany,8,0,0,8,3.0,0.0
2020-02-02,Germany,10,0,0,10,2.0,0.0
2020-02-03,Germany,12,0,0,12,2.0,0.0
2020-02-04,Germany,12,0,0,12,0.0,0.0
2020-02-05,Germany,12,0,0,12,0.0,0.0
2020-02-06,Germany,12,0,0,12,0.0,0.0
2020-02-07,Germany,13,0,0,13,1.0,0.0
2020-02-08,Germany,13,0,0,13,0.0,0.0
2020-02-09,Germany,14,0,0,14,1.0,0.0
2020-02-10,Germany,14,0,0,14,0.0,0.0
2020-02-11,Germany,16,0,0,16,2.0,0.0
2020-02-12,Germany,16,0,0,16,0.0,0.0
2020-02-13,Germany,16,1,0,15,0.0,0.0
2020-02-14,Germany,16,1,0,15,0.0,0.0
2020-02-15,Germany,16,1,0,15,0.0,0.0
2020-02-16,Germany,16,1,0,15,0.0,0.0
2020-02-17,Germany,16,1,0,15,0.0,0.0
2020-02-18,Germany,16,12,0,4,0.0,0.0
2020-02-19,Germany,16,12,0,4,0.0,0.0
2020-02-20,Germany,16,12,0,4,0.0,0.0
2020-02-21,Germany,16,14,0,2,0.0,0.0
2020-02-22,Germany,16,14,0,2,0.0,0.0
2020-02-23,Germany,16,14,0,2,0.0,0.0
2020-02-24,Germany,16,14,0,2,0.0,0.0
2020-02-25,Germany,16,14,0,2,0.0,0.0
2020-02-26,Germany,21,15,0,6,5.0,0.0
2020-02-27,Germany,26,16,0,10,5.0,0.0
2020-02-28,Germany,53,16,0,37,27.0,0.0
2020-02-29,Germany,66,16,0,50,13.0,0.0
2020-03-01,Germany,117,16,0,101,51.0,0.0
2020-03-02,Germany,150,16,0,134,33.0,0.0
2020-03-03,Germany,188,16,0,172,38.0,0.0
2020-03-04,Germany,240,16,0,224,52.0,0.0
2020-03-05,Germany,349,16,0,333,109.0,0.0
2020-03-06,Germany,534,17,0,517,185.0,0.0
2020-03-07,Germany,684,18,0,666,150.0,0.0
2020-03-08,Germany,847,18,0,829,163.0,0.0
2020-03-09,Germany,1112,18,2,1092,265.0,2.0
2020-03-10,Germany,1296,18,2,1276,184.0,0.0
2020-03-11,Germany,1567,25,3,1539,271.0,1.0
2020-03-12,Germany,2369,25,5,2339,802.0,2.0
2020-03-13,Germany,3062,46,5,3011,693.0,0.0
2020-03-14,Germany,3795,46,8,3741,733.0,3.0
2020-03-15,Germany,4838,46,12,4780,1043.0,4.0
2020-03-16,Germany,6012,67,12,5933,1174.0,0.0
2020-03-17,Germany,7156,67,12,7077,1144.0,0.0
2020-03-18,Germany,8198,105,12,8081,1042.0,0.0
2020-03-19,Germany,10999,113,20,10866,2801.0,8.0
2020-03-20,Germany,13957,180,31,13746,2958.0,11.0
2020-03-21,Germany,16662,233,47,16382,2705.0,16.0
2020-03-22,Germany,18610,266,55,18289,1948.0,8.0
2020-03-23,Germany,22672,266,86,22320,4062.0,31.0
2020-03-24,Germany,27436,3243,114,24079,4764.0,28.0
2020-03-25,Germany,31554,3547,149,27858,4118.0,35.0
2020-03-26,Germany,36508,5673,198,30637,4954.0,49.0
2020-03-27,Germany,42288,6658,253,35377,5780.0,55.0
2020-03-28,Germany,48582,8481,325,39776,6294.0,72.0
2020-03-29,Germany,52547,9211,389,42947,3965.0,64.0
2020-03-30,Germany,57298,13500,455,43343,4751.0,66.0
2020-03-31,Germany,61913,16100,583,45230,4615.0,128.0
2020-04-01,Germany,67366,18700,732,47934,5453.0,149.0
2020-04-02,Germany,73522,22440,872,50210,6156.0,140.0
2020-04-03,Germany,79696,24575,1017,54104,6174.0,145.0
2020-04-04,Germany,85778,26400,1158,58220,6082.0,141.0
2020-04-05,Germany,91714,28700,1342,61672,5936.0,184.0
2020-04-06,Germany,95391,28700,1434,65257,3677.0,92.0
2020-04-07,Germany,99225,36081,1607,61537,3834.0,173.0
2020-04-08,Germany,103228,46300,1861,55067,4003.0,254.0
2020-04-09,Germany,108202,52407,2107,53688,4974.0,246.0
2020-04-10,Germany,113525,53913,2373,57239,5323.0,266.0
2020-04-11,Germany,117658,57400,2544,57714,4133.0,171.0
2020-04-12,Germany,120479,60300,2673,57506,2821.0,129.0
2020-04-13,Germany,123016,64300,2799,55917,2537.0,126.0
2020-04-14,Germany,125098,68200,2969,53929,2082.0,170.0
2020-04-15,Germany,127584,72600,3254,51730,2486.0,285.0
2020-04-16,Germany,130450,77000,3569,49881,2866.0,315.0
2020-04-17,Germany,133830,83114,3868,46848,3380.0,299.0
2020-04-18,Germany,137439,85400,4110,47929,3609.0,242.0
2020-04-19,Germany,139897,88000,4294,47603,2458.0,184.0
2020-04-20,Germany,141672,91500,4404,45768,1775.0,110.0
2020-04-21,Germany,143457,95200,4598,43659,1785.0,194.0
2020-04-22,Germany,145694,99400,4879,41415,2237.0,281.0
2020-04-23,Germany,148046,103300,5094,39652,2352.0,215.0
2020-04-24,Germany,150383,109800,5321,35262,2337.0,227.0
2020-04-25,Germany,152438,109800,5500,37138,2055.0,179.0
2020-04-26,Germany,154175,112000,5640,36535,1737.0,140.0
2020-04-27,Germany,155193,114500,5750,34943,1018.0,110.0
2020-04-28,Germany,156337,117400,5913,33024,1144.0,163.0
2020-04-29,Germany,157641,120400,6115,31126,1304.0,202.0
2020-04-30,Germany,159119,123500,6288,29331,1478.0,173.0
2020-05-01,Germany,160758,126900,6481,27377,1639.0,193.0
2020-05-02,Germany,161703,129000,6575,26128,945.0,94.0
2020-05-03,Germany,162496,130600,6649,25247,793.0,74.0
2020-05-04,Germany,163175,132700,6692,23783,679.0,43.0
2020-05-05,Germany,163860,135100,6831,21929,685.0,139.0
2020-05-06,Germany,164807,139900,6996,17911,947.0,165.0
2020-05-07,Germany,166091,141700,7119,17272,1284.0,123.0
2020-05-08,Germany,167300,141700,7266,18334,1209.0,147.0
2020-05-09,Germany,168551,143300,7369,17882,1251.0,103.0
2020-05-10,Germany,169218,144400,7395,17423,667.0,26.0
2020-05-11,Germany,169575,145617,7417,16541,357.0,22.0
2020-05-12,Germany,170508,147200,7533,15775,933.0,116.0
2020-05-13,Germany,171306,148700,7634,14972,798.0,101.0
2020-05-14,Germany,172239,150300,7723,14216,933.0,89.0
2020-05-15,Germany,173152,151597,7824,13731,913.0,101.0
2020-05-16,Germany,173772,152600,7881,13291,620.0,57.0
2020-05-17,Germany,174355,154011,7914,12430,583.0,33.0
2020-05-18,Germany,174697,155041,7935,11721,342.0,21.0
2020-05-19,Germany,175210,155681,8007,11522,513.0,72.0
2020-05-20,Germany,176007,156966,8090,10951,797.0,83.0
2020-05-21,Germany,176752,158087,8147,10518,745.0,57.0
2020-05-22,Germany,177212,159064,8174,9974,460.0,27.0
2020-05-23,Germany,177850,159716,8216,9918,638.0,42.0
